화장실명,소재지도로명주소,비상벨설치여부,개방시간상세,male,female,lat,lon
가평군청 2청사 (1층),경기도 가평군 가평읍 석봉로 191번길 10,Y,운영시간내,1,1,37.832196,127.5087366
가평군청 2청사 (2층),경기도 가평군 가평읍 석봉로 191번길 10,Y,운영시간내,1,1,37.832196,127.5087366
가평군청 2청사 (3층),경기도 가평군 가평읍 석봉로 191번길 10,Y,운영시간내,1,1,37.832196,127.5087366
가평군청 2청사 (4층),경기도 가평군 가평읍 석봉로 191번길 10,Y,운영시간내,1,1,37.832196,127.5087366
농업기술센터 (1층),경기도 가평군 가평읍 아랫마장길 59,N,운영시간내,1,1,37.84604090000001,127.4992017
한석봉도서관 1층,경기도 가평군 가평읍 문화로 187,N,운영시간내,0,1,37.82981669999999,127.5065478
한석봉도서관 2층,경기도 가평군 가평읍 문화로 187,N,운영시간내,1,1,37.82981669999999,127.5065478
한석봉도서관 3층,경기도 가평군 가평읍 문화로 187,N,운영시간내,1,1,37.82981669999999,127.5065478
설악도서관 (1층),경기도 가평군 설악면 자잠로 65,Y,운영시간내,0,1,37.6833436,127.4909815
설악도서관 (3층),경기도 가평군 설악면 자잠로 65,Y,운영시간내,1,0,37.6833436,127.4909815
청평도서관 (지하 1층),경기도 가평군 청평면 은고개로 31,Y,운영시간내,1,1,37.7395893,127.4242144
조종도서관 (1층),경기도 가평군 조종면 조종희망로26번길22,N,운영시간내,1,1,37.8182548,127.3529514
가평군 상수도사업소,경기도 가평군 가평읍 호반로 2463-41,N,운영시간내,1,1,37.8066645,127.5122545
설악면사무소 (1층),경기도 가평군 설악면 한서로 6,Y,운영시간내,1,1,37.675968,127.494629
설악면사무소 (2층),경기도 가평군 설악면 한서로 6,Y,운영시간내,1,1,37.675968,127.494629
설악면사무소 (3층),경기도 가평군 설악면 한서로 6,Y,운영시간내,1,1,37.675968,127.494629
청평면사무소 (1층),경기도 가평군 청평면 은고개로 19,Y,운영시간내,1,1,37.7403106,127.4241414
상면사무소 (1층),경기도 가평군 상면 청군로 1105,Y,운영시간내,1,1,37.800162,127.3488774
조종면사무소 (1층),경기도 가평군 조종면 조종내길 71,N,운영시간내,1,1,37.817611,127.3532891
북면사무소 (1층),경기도 가평군 북면 가화로 1030-39,Y,운영시간내,1,1,37.9404404,127.4916653
북면사무소 (2층),경기도 가평군 북면 가화로 1030-39,Y,운영시간내,1,1,37.9404404,127.4916653
북면사무소 (3층),경기도 가평군 북면 가화로 1030-39,Y,운영시간내,1,1,37.9404404,127.4916653
설악면종합복지회관,경기도 가평군 설악면 한서로 18-16,N,운영시간내,1,1,37.6753572,127.4950365
청평면종합복지회관,경기도 가평군 청평면 은고개로 15,N,운영시간내,1,1,37.7407784,127.4245488
조종면복지회관,경기도 가평군 조종면 현창로62번길 12-10,N,운영시간내,1,1,37.8205793,127.3474806
북면복지회관,경기도 가평군 북면 목동복지로 36-12,N,운영시간내,1,1,37.8865081,127.5514256
설악생활체육공원,경기도 가평군 설악면 자잠로 53-88,N,운영시간내,1,1,37.68466919999999,127.4905378
눈메골 광장 공중화장실,경기도 가평군 설악면 신천중앙로 102,N,00:00~00:00,1,1,37.6775555,127.4926462
테니스장 옆 주차장,경기도 가평군 설악면 선촌리 589-1,N,00:00~00:00,1,1,37.682587,127.4866911
현리터미널화장실,경기도 가평군 조종면 현창로 35,N,00:00~00:00,1,1,37.8178602,127.3481809
운악산 공중화장실,경기도 가평군 조종면 현등사길 11,N,00:00~00:00,1,1,37.8649112,127.3404459
유명산 공중화장실,경기도 가평군 설악면 유명산길 101-30,Y,00:00~00:00,1,1,37.5922448,127.4887574
솔고개 공중화장실,경기도 가평군 설악면 유명로 1833-5,Y,00:00~00:00,1,1,37.657341,127.4644681
가일리 공중화장실,경기도 가평군 설악면 어비산길 229,Y,00:00~00:00,0,1,37.5904851,127.5107631
목동터미널 화장실,경기도 가평군 북면 화악산로11번길 5,N,00:00~00:00,1,1,37.8866427,127.5491273
청평터미널,경기도 가평군 청평면 청평중앙로 54,N,00:00~00:00,1,1,37.7381263,127.4207489
산촌마을 공중화장실,경기도 가평군 북면 백둔로 417-9,Y,00:00~00:00,1,1,37.9015287,127.462912
명지산 군립공원 공중화장실,경기도 가평군 북면 가화로 2089-12,Y,00:00~00:00,1,1,37.9404404,127.4916653
청평여울시장 상설동 화장실,경기도 가평군 청평면 시장중앙로 19,N,00:00~00:00,1,1,37.7348108,127.4159351
음악역1939,경기도 가평군 가평읍 석봉로 100,N,09:00~22:00,2,2,37.823821,127.5129357
호명호수(제1주차장),경기도 가평군 청평면 상천리 1519-16,Y,00:00~00:00,1,1,37.7624127,127.4828
상천테마공원(주차장),경기도 가평군 청평면 상지로 64번길 77,Y,00:00~00:00,1,1,37.7597983,127.467255
대성국민관광지(안내소),경기도 가평군 청평면 대성리 601-1,Y,00:00~00:00,1,1,37.6799483,127.3796457
청춘역1979,경기도 가평군 청평면 청평리 383-1,Y,00:00~00:00,1,1,37.73708209999999,127.4233704
이화원 여자화장실,경기도 가평군 가평읍 자라섬로 64,Y,00:00~00:00,1,2,37.8183189,127.5187985
자라섬 수상스포츠 체험센터,경기도 가평군 가평읍 대곡리 683,Y,00:00~00:00,1,1,37.8178699,127.5184629
밀리터리 테마공원 화장실,경기도 가평군 조종면 현리 2-26,Y,00:00~00:00,1,1,37.8345571,127.3518782
보납산 입구 화장실,경기도 가평군 가평읍 자라목6길 34,Y,00:00~00:00,1,1,37.8341703,127.5188552
용소폭포 공중화장실2,경기도 가평군 북면 도대리 574,N,00:00~00:00,1,1,37.95657509999999,127.4723897
가평근린공원,경기도 가평군 가평읍 읍내리 400-9,N,05:00~20:00,1,1,37.8287126,127.5159341
